野菜,肉,冷蔵・冷凍品,保存食,素
じゃがいも,牛薄切り,卵,春雨,スンドブ
にんじん,豚薄切り,豆腐,いなり缶,デミグラス
たまねぎ,鳥むね,キムチ,コーン缶詰,カレー
ながねぎ,鳥もも,しらたき,ツナ缶詰,シチュー
白菜,牛ステーキ,フォンデュ,パイナップル,ハヤシ
なす,豚ロイン,うどん,海苔,麻婆豆腐
大根,牛ひき,ラーメン,しいたけ,なべの素
ごぼう,豚ひき,焼きそば,昆布,炊き込み
レタス,さば,餃子,そば,お好み焼き
ほうれん草,うなぎ,韓国餃子,お稲荷,唐揚げ粉
アボガド,さしみ,きんぴらごぼう,,
セロリ,サケ,シュウマイ,,
ピーマン,スパイシー豚,かにかま,,
たけのこ,韓国リブ,,,
キャベツ,エビ,,,
アスパラ,,,,
とろろいも,,,,
トマト,,,,
しめじ,,,,
エリンギ,,,,
かぼちゃ,,,,
きゅうり,,,,
ブロッコリー,,,,
